ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1784294700,2026-07-17,1,13.866666666666667,0.0988505747126436,8.375915428244559,NORMAL-CHOP,PRE-OPEN,10.75,20.8,41.6,28640.5,28619.25,-21.25,-44.0,STOP,1.7,247.0,0.4631001778304683,0.07277705295500124
1784295180,2026-07-17,-1,32.81666666666667,0.1626139817629179,-6.665102953060785,VIOLENT-WHIPSAW,US,-53.5,49.22500000000001,98.45000000000002,28574.0,28475.55,98.45,195.4,TARGET,5.2,165.75,0.5062949640287769,-0.003624731114479313
1784296320,2026-07-17,1,43.583333333333336,0.1510791366906475,2.9016466615505423,VIOLENT-WHIPSAW,US,42.0,65.375,130.75,28551.75,28682.5,130.75,260.0,TARGET,7.1,344.25,0.49730102216607325,-0.012955557819340895
1784297160,2026-07-17,1,44.95,0.6867619639527657,4.357100940491742,CLEAN-TREND,US,276.25,67.42500000000001,134.85000000000002,28799.75,28732.0,-67.75,-137.0,STOP,51.6,96.25,0.488233895887806,0.0031570570271924397
1784307060,2026-07-17,1,22.15,0.5270655270655271,3.1388860889138472,CLEAN-TREND,US,92.5,33.224999999999994,66.44999999999999,29020.5,28987.0,-33.5,-68.5,STOP,4.1,26.5,0.5135505641674576,-0.047710873761964874
1784313600,2026-07-17,-1,21.166666666666668,0.0590277777777777,-2.501198220554045,VIOLENT-WHIPSAW,US,-8.5,31.75,63.5,28818.0,28850.0,-32.0,-65.5,STOP,7.0,99.5,0.4752640355753196,0.03461139663776127
1784316480,2026-07-17,1,20.65,0.09375,2.3061868394893805,VIOLENT-WHIPSAW,US,16.5,30.975,61.95,28791.25,28760.0,-31.25,-64.0,STOP,11.1,62.5,0.47719372168966606,0.03209774256977698
1784858280,2026-07-24,-1,12.983333333333333,0.6051948051948052,-2.638071909898124,CLEAN-TREND,OVERNIGHT,-58.25,19.475,38.95,28617.0,28578.05,38.95,76.4,TARGET,34.2,100.75,0.5072058823529412,0.002810012581882927
1784861280,2026-07-24,-1,11.233333333333333,0.4551282051282051,-2.458678698492433,BUILDING,OVERNIGHT,-35.5,16.849999999999998,33.7,28535.75,28553.0,-17.25,-36.0,STOP,27.9,42.0,0.5205974463984582,-0.030398592889941168
1784865600,2026-07-24,-1,10.683333333333334,0.3519163763066202,-3.658099171813818,BUILDING,OVERNIGHT,-25.25,16.025,32.05,28476.75,28493.25,-16.5,-34.5,STOP,4.6,10.5,0.5295303605313093,0.010052741483552285
1784874000,2026-07-24,1,11.866666666666667,0.3812154696132597,2.0149741617557693,BUILDING,OVERNIGHT,34.5,17.8,35.6,28555.75,28537.5,-18.25,-38.0,STOP,7.5,100.75,0.5087362374341791,-0.04546112980242683
1784876460,2026-07-24,1,12.816666666666666,0.4952561669829222,2.0868240729810634,CLEAN-TREND,PRE-OPEN,65.25,19.225,38.45,28563.75,28602.2,38.45,75.4,TARGET,8.0,99.75,0.4809846153846154,0.03598961735293275
1784877120,2026-07-24,1,14.8,0.8089668615984406,2.316279209727782,CLEAN-TREND,PRE-OPEN,103.75,22.200000000000003,44.400000000000006,28624.25,28601.75,-22.5,-46.5,STOP,49.1,39.25,0.5170469446629951,-0.06297038069410214
1784884140,2026-07-24,1,14.166666666666666,0.4015151515151515,4.821786428419242,CLEAN-TREND,PRE-OPEN,53.0,21.25,42.5,28677.5,28656.0,-21.5,-44.5,STOP,2.2,28.25,0.40779127948534666,0.1040457758581587
1784890260,2026-07-24,-1,9.25,0.2907801418439716,-3.022810640228145,BUILDING,PRE-OPEN,-20.5,13.875,27.75,28635.75,28650.0,-14.25,-30.0,STOP,6.4,33.5,0.47949454336588165,0.06545421830005457
1784892660,2026-07-24,-1,10.783333333333331,0.2831325301204819,-3.500137831640094,BUILDING,PRE-OPEN,-23.5,16.174999999999997,32.349999999999994,28629.25,28646.0,-16.75,-35.0,STOP,5.0,28.25,0.48493254318497037,0.08184906289258496
1784893620,2026-07-24,-1,10.983333333333333,0.2009685230024213,-2.129938959058808,BUILDING,PRE-OPEN,-20.75,16.474999999999998,32.95,28609.5,28626.25,-16.75,-35.0,STOP,3.9,8.5,0.4615210758277771,0.07018877928680356
1784894280,2026-07-24,1,14.7,0.2873563218390804,5.290057129782604,BUILDING,PRE-OPEN,43.75,22.05,44.1,28676.0,28653.25,-22.75,-47.0,STOP,2.2,23.0,0.47309478284621687,0.062332901570418035
1784899020,2026-07-24,1,10.733333333333333,0.0967741935483871,3.281429407773976,NORMAL-CHOP,PRE-OPEN,8.25,16.099999999999998,32.2,28605.5,28589.0,-16.5,-34.5,STOP,4.0,16.75,0.4732806324110672,0.045993371011043636
1784900400,2026-07-24,-1,38.13333333333333,0.3263327948303716,-4.3986048335239945,BUILDING,US,-101.0,57.2,114.4,28491.25,28376.85,114.4,227.3,TARGET,11.3,224.0,0.5087753701343269,-0.00020256220479173784
1784903940,2026-07-24,-1,33.766666666666666,0.4165067178502879,-2.742578545041262,CLEAN-TREND,US,-108.5,50.65,101.3,28282.0,28333.0,-51.0,-103.5,STOP,10.2,27.75,0.4717244996066777,0.040298722276482686
1784905020,2026-07-24,1,34.9,0.4367726920093095,2.060111268425882,CLEAN-TREND,US,140.75,52.35,104.7,28415.75,28363.0,-52.75,-107.0,STOP,12.0,164.25,0.4625595020139143,0.06270988731328314
