ts,day,hour,side,z,atr,ep,xp,why,pnl,pts
1786429620,2026-08-11,6,-1,3.320941257004239,8.285714285714286,29768.75,29785.571428571428,STOP,-35.142857142855064,-16.821428571427532
1786430460,2026-08-11,6,1,-4.217764717189379,13.107142857142858,29783.25,29756.785714285714,STOP,-54.42857142857247,-26.464285714286234
1786443960,2026-08-11,10,-1,5.228974391927817,9.589285714285714,29817.5,29816.0,TIME,1.5,1.5
1786487460,2026-08-11,22,-1,5.192108225525819,4.357142857142857,29644.0,29652.964285714286,STOP,-19.428571428572468,-8.964285714286234
1786492920,2026-08-12,0,1,-5.808623365384565,10.589285714285714,29638.25,29669.75,TIME,61.5,31.5
1786512060,2026-08-12,5,1,-3.3940053214317087,5.821428571428571,29677.25,29707.0,TIME,58.0,29.75
1786574820,2026-08-12,22,-1,4.240966024717035,5.285714285714286,29794.25,29805.071428571428,STOP,-23.142857142855064,-10.821428571427532
1786576320,2026-08-12,23,-1,4.042517401515631,4.642857142857143,29809.5,29808.75,TIME,0.0,0.75
1786578000,2026-08-12,23,-1,3.277961372599762,4.607142857142857,29809.75,29819.214285714286,STOP,-20.428571428572468,-9.464285714286234
1786586640,2026-08-13,2,-1,3.363855532030684,7.785714285714286,29859.5,29835.75,TIME,46.0,23.75
1786649400,2026-08-13,19,1,-3.284166780127377,10.589285714285714,30225.25,30203.821428571428,STOP,-44.357142857144936,-21.428571428572468
1786660200,2026-08-13,22,-1,3.36167066472399,5.053571428571429,30202.0,30203.75,TIME,-5.0,-1.75
1786686300,2026-08-14,5,-1,5.267904516411917,5.482142857142857,30167.25,30178.464285714286,STOP,-23.928571428572468,-11.214285714286234
1786694760,2026-08-14,8,-1,4.229173065734065,9.839285714285714,30224.25,30234.25,TIME,-21.5,-10.0
1786695780,2026-08-14,8,1,-5.0712216525228575,9.75,30214.25,30235.25,TIME,40.5,21.0
1786709040,2026-08-14,12,-1,5.931439350211853,6.821428571428571,30262.0,30275.89285714286,STOP,-29.285714285717404,-13.892857142858702
1786712760,2026-08-14,13,-1,3.9130712940447823,7.142857142857143,30273.0,30178.75,TIME,187.0,94.25
