ts,day,hour,side,z,atr,ep,xp,why,pnl,pts,er15,ext,vol
1785159900,2026-07-27,13,-1,3.119002618834112,42.535714285714285,28473.0,28267.25,TIME,410.0,205.75,0.3860805860805861,-3.097397145256088,14376.0
1785182100,2026-07-27,19,1,-4.074456946609658,20.125,28189.25,28189.5,TIME,-1.0,0.25,0.0220994475138121,0.0993788819875776,5308.0
1785191760,2026-07-27,22,-1,3.9234031919861887,10.0,28151.25,28146.0,TIME,9.0,5.25,0.0533807829181494,-0.375,803.0
1785234600,2026-07-28,10,1,-5.100176898874993,10.75,27975.5,27953.75,STOP,-45.0,-21.75,0.1428571428571428,0.9302325581395348,1384.0
1785245400,2026-07-28,13,-1,8.071690871018415,21.089285714285715,27955.25,27725.5,TIME,458.0,229.75,0.3706293706293706,-2.513124470787468,11052.0
1785317940,2026-07-29,9,-1,3.8014903951169776,12.75,27977.75,28003.5,STOP,-53.0,-25.75,0.2236503856041131,1.7058823529411764,1336.0
1785402900,2026-07-30,9,1,-3.662686106631568,15.982142857142858,27532.75,27542.0,TIME,17.0,9.25,0.5888888888888889,3.316201117318436,3106.0
1785497040,2026-07-31,11,-1,4.843943447239068,12.910714285714286,28567.5,28554.0,TIME,25.5,13.5,0.4631578947368421,-3.408022130013831,788.0
1785501600,2026-07-31,12,1,-3.185178031094562,19.517857142857142,28453.5,28527.25,TIME,146.0,73.75,0.31002331002331,-1.7035681610247029,1323.0
1785739200,2026-08-03,6,1,-5.666403624666988,8.732142857142858,28615.75,28598.035714285714,STOP,-36.92857142857247,-17.714285714286234,0.0373831775700934,-0.2290388548057259,1066.0
1785764940,2026-08-03,13,1,-4.73846138469231,55.517857142857146,28474.25,28611.5,TIME,273.0,137.25,0.2747837658017298,1.859761981344484,12096.0
1785796500,2026-08-03,22,1,-4.386609896139964,6.660714285714286,28943.5,28940.5,TIME,-7.5,-3.0,0.0340136054421768,-0.1876675603217158,1778.0
1785799560,2026-08-03,23,-1,3.478917306744912,6.482142857142857,28946.0,28959.214285714286,STOP,-27.928571428572468,-13.214285714286234,0.1686746987951807,1.0798898071625345,774.0
1785815940,2026-08-04,3,-1,3.293632142593236,8.607142857142858,28995.5,29012.964285714286,STOP,-36.42857142857247,-17.464285714286234,0.5904761904761905,3.601659751037344,1374.0
1785843840,2026-08-04,11,-1,9.016804485482936,11.571428571428571,29202.75,29226.14285714286,STOP,-48.285714285717404,-23.392857142858702,0.0578512396694214,0.3024691358024691,5940.0
1785866460,2026-08-04,18,1,-3.656017659040614,17.303571428571427,29841.5,29881.0,TIME,77.5,39.5,0.4311111111111111,-2.802889576883385,8356.0
1785892620,2026-08-05,1,1,-3.3069349808753814,11.732142857142858,29816.5,29863.25,TIME,92.0,46.75,0.1029023746701846,-0.8310502283105022,2208.0
1785895080,2026-08-05,1,-1,3.24841233556286,9.732142857142858,29866.5,29886.214285714286,STOP,-40.92857142857247,-19.714285714286234,0.5686274509803921,3.7247706422018343,1689.0
1785956760,2026-08-05,19,-1,7.089339502493763,11.857142857142858,29758.5,29726.0,TIME,63.5,32.5,0.233201581027668,1.2439759036144578,5349.0
1786007880,2026-08-06,9,1,-3.05680802454497,10.982142857142858,29476.0,29505.75,TIME,58.0,29.75,0.0660146699266503,-0.6146341463414634,1127.0
1786021620,2026-08-06,13,1,-3.311766324659413,14.392857142857142,29358.5,29329.464285714286,STOP,-59.57142857142753,-29.035714285713766,0.401673640167364,-3.334987593052109,1911.0
1786022880,2026-08-06,13,1,-6.250369081668306,16.125,29344.5,29312.0,STOP,-66.5,-32.5,0.2777777777777778,-1.2403100775193798,3635.0
1786058400,2026-08-06,23,-1,3.925720259346108,7.642857142857143,29578.25,29593.785714285714,STOP,-32.57142857142753,-15.535714285713766,0.2592592592592592,1.602803738317757,2514.0
1786068240,2026-08-07,2,-1,4.655173228277774,11.767857142857142,29542.75,29506.25,TIME,71.5,36.5,0.3240418118466899,1.975720789074355,1614.0
1786094700,2026-08-07,9,-1,3.790444867875242,6.589285714285714,29644.75,29623.75,TIME,40.5,21.0,0.264367816091954,1.7452574525745257,740.0
1786102140,2026-08-07,11,-1,3.6273045250330855,6.910714285714286,29652.5,29666.571428571428,STOP,-29.642857142855064,-14.071428571427532,0.4459459459459459,2.3875968992248064,888.0
1786110300,2026-08-07,13,-1,6.062450965748835,47.94642857142857,29756.5,29624.25,TIME,263.0,132.25,0.178743961352657,1.157541899441341,15104.0
1786123980,2026-08-07,17,-1,3.457859460920242,13.214285714285714,29744.0,29749.5,TIME,-12.5,-5.5,0.025522041763341,-0.2081081081081081,4013.0
1786341600,2026-08-10,6,-1,3.3825523057195146,5.821428571428571,29934.25,29946.14285714286,STOP,-25.285714285717404,-11.892857142858702,0.5774647887323944,3.521472392638037,1170.0
1786368480,2026-08-10,13,1,-3.615753278517062,13.428571428571429,29796.25,29769.14285714286,STOP,-55.714285714282596,-27.107142857141298,0.040590405904059,-0.2047872340425532,3686.0
1786368660,2026-08-10,13,1,-4.176650632348828,16.571428571428573,29814.5,29781.10714285714,STOP,-68.2857142857174,-33.3928571428587,0.3399339933993399,1.5538793103448274,10374.0
1786391640,2026-08-10,19,-1,3.703948769072411,11.660714285714286,29735.75,29743.5,TIME,-17.0,-7.75,0.5054945054945055,-3.9448698315467072,3954.0
1786391700,2026-08-10,19,-1,4.9893284610154085,12.0,29745.75,29746.5,TIME,-3.0,-0.75,0.4767441860465116,-3.4166666666666665,6320.0
1786404060,2026-08-10,23,1,-11.372696316257716,4.5,29719.25,29710.0,STOP,-20.0,-9.25,0.2967032967032967,-1.5,2345.0
1786410000,2026-08-11,1,-1,3.49185410978388,7.0,29794.5,29808.75,STOP,-30.0,-14.25,0.1645569620253164,0.9285714285714286,1957.0
1786424580,2026-08-11,5,1,-3.2170594491034987,4.732142857142857,29839.0,29829.285714285714,STOP,-20.928571428572468,-9.714285714286234,0.219047619047619,-1.2150943396226417,445.0
1786427400,2026-08-11,5,1,-3.2883589130978748,6.767857142857143,29795.25,29786.25,TIME,-19.5,-9.0,0.4782608695652174,-2.8443271767810026,844.0
1786429620,2026-08-11,6,-1,3.320941257004239,8.285714285714286,29768.75,29785.571428571428,STOP,-35.142857142855064,-16.821428571427532,0.7862595419847328,-6.21551724137931,1213.0
1786430460,2026-08-11,6,1,-4.217764717189379,13.107142857142858,29783.25,29756.785714285714,STOP,-54.42857142857247,-26.464285714286234,0.0725274725274725,0.6294277929155313,1654.0
1786443960,2026-08-11,10,-1,5.228974391927817,9.589285714285714,29817.5,29815.75,TIME,2.0,1.75,0.8760330578512396,5.527001862197394,1476.0
1786487460,2026-08-11,22,-1,5.192108225525819,4.357142857142857,29644.0,29652.964285714286,STOP,-19.428571428572468,-8.964285714286234,0.0526315789473684,-0.1721311475409836,1006.0
1786492920,2026-08-12,0,1,-5.808623365384565,10.589285714285714,29638.25,29669.25,TIME,60.5,31.0,0.0300429184549356,0.1652613827993254,3252.0
1786512060,2026-08-12,5,1,-3.3940053214317087,5.821428571428571,29677.25,29707.75,TIME,59.5,30.5,0.5362318840579711,-3.177914110429448,912.0
1786574820,2026-08-12,22,-1,4.240966024717035,5.285714285714286,29794.25,29805.071428571428,STOP,-23.142857142855064,-10.821428571427532,0.3513513513513513,1.2297297297297298,1429.0
1786576320,2026-08-12,23,-1,4.042517401515631,4.642857142857143,29809.5,29808.25,TIME,1.0,1.25,0.5157894736842106,2.6384615384615384,732.0
1786578000,2026-08-12,23,-1,3.277961372599762,4.607142857142857,29809.75,29819.214285714286,STOP,-20.428571428572468,-9.464285714286234,0.1764705882352941,1.1395348837209305,855.0
1786586640,2026-08-13,2,-1,3.363855532030684,7.785714285714286,29859.5,29835.5,TIME,46.5,24.0,0.5785123966942148,4.495412844036697,1475.0
1786649400,2026-08-13,19,1,-3.284166780127377,10.589285714285714,30225.25,30203.821428571428,STOP,-44.357142857144936,-21.428571428572468,0.086053412462908,-0.6846543001686342,4124.0
1786660200,2026-08-13,22,-1,3.36167066472399,5.053571428571429,30202.0,30204.5,TIME,-6.5,-2.5,0.2786885245901639,1.6819787985865724,430.0
1786686300,2026-08-14,5,-1,5.267904516411917,5.482142857142857,30167.25,30178.464285714286,STOP,-23.928571428572468,-11.214285714286234,0.5522388059701493,3.3745928338762217,824.0
1786694760,2026-08-14,8,-1,4.229173065734065,9.839285714285714,30224.25,30234.0,TIME,-21.0,-9.75,0.396078431372549,2.566243194192378,1932.0
1786695780,2026-08-14,8,1,-5.0712216525228575,9.75,30214.25,30235.75,TIME,41.5,21.5,0.2569169960474308,-1.6666666666666667,882.0
1786709040,2026-08-14,12,-1,5.931439350211853,6.821428571428571,30262.0,30275.89285714286,STOP,-29.285714285717404,-13.892857142858702,0.1481481481481481,0.8795811518324608,2215.0
1786712760,2026-08-14,13,-1,3.9130712940447823,7.142857142857143,30273.0,30178.75,TIME,187.0,94.25,0.064516129032258,0.42,2335.0
