t,open,high,low,close,volume,dlt,tvol,nticks,bid5,ask5,bid10,ask10,bid1s,ask1s,bid1p,ask1p,nsnap,atr20,er30,vwap30,hi30,lo30,hi60,lo60,dlt30s,dlt60s,tvol60s,tvol30m,mv30s,mv60s,dbid5_30s,dask5_30s,bid5_5m,ask5_5m,vwap30_10m,pos30,rng_atr,vslope,stretch,bkr_ask,bkr_bid,dask_n,dbid_n,dlt_n,absorb,at,day,hit,secs,revert,cont,farwall,far_refill,push,prog,vs_help,vs_flat,chop,tod
1784255525,28920.0,28920.25,28915.5,28917.25,150.0,-96.0,155.0,84,30.0,31.0,110.0,101.0,4.0,3.0,28917.25,28918.0,19,10.5125,0.3057324840764331,28944.153020146452,28982.25,28915.25,29017.75,28915.25,-75.0,46.0,966.0,27449.0,-5.25,-0.5,-1.0,-6.0,30.166666666666668,32.21666666666667,28958.931750688105,0.029850746268656716,6.373365041617123,-1.4058245461739076,-2.559145792765949,1.0333333333333334,0.967741935483871,-0.18623900672529745,-0.03314917127071823,0.047619047619047616,30.666666666666668,LOW,2026-07-17,DN,149.3510000705719,False,True,0.967741935483871,-0.03314917127071823,-0.047619047619047616,0.5,-1.4058245461739076,1.4058245461739076,trend,ON
1784255600,28921.75,28921.75,28917.5,28918.0,131.0,27.0,127.0,47,28.0,32.0,70.0,77.0,1.0,2.0,28918.25,28918.75,18,10.4875,0.3355048859934853,28942.376897285216,28982.25,28915.0,29012.0,28915.0,88.0,143.0,930.0,27734.0,-3.5,1.5,6.0,-12.0,28.5,32.583333333333336,28958.3061321992,0.04460966542750929,6.412395709177592,-1.518878180117591,-2.3243763799967407,1.1428571428571428,0.875,-0.3682864450127877,0.21052631578947367,0.15376344086021507,57.2,LOW,2026-07-17,DN,74.34999990463257,False,True,0.875,0.21052631578947367,-0.15376344086021507,-1.5,-1.518878180117591,1.518878180117591,trend,ON
1784255660,28914.5,28914.75,28912.5,28913.0,68.0,16.0,55.0,36,36.0,37.0,151.0,86.0,1.0,11.0,28912.75,28913.25,19,10.3625,0.3952755905511811,28940.36235084595,28982.25,28911.25,29012.0,28911.25,-208.0,-248.0,1106.0,28062.0,-5.5,-5.0,17.0,7.0,28.5,31.3,28957.050717175433,0.02464788732394366,6.851628468033775,-1.6104575468741094,-2.6405163663159996,1.0277777777777777,0.972972972972973,0.22364217252396165,0.5964912280701754,-0.22423146473779385,41.333333333333336,LOW,2026-07-17,UP,116.54900002479553,True,False,0.972972972972973,0.5964912280701754,0.22423146473779385,5.0,-1.6104575468741094,1.6104575468741094,trend,ON
1784255720,28913.75,28913.75,28911.25,28912.0,44.0,-28.0,44.0,21,27.0,30.0,72.0,80.0,3.0,2.0,28911.5,28912.25,15,10.4,0.40372670807453415,28938.337401384917,28982.25,28908.5,29012.0,28908.5,-68.0,-327.0,1450.0,29034.0,2.25,-1.0,1.0,3.0,29.116666666666667,31.233333333333334,28956.32504617658,0.04745762711864407,7.091346153846153,-1.7295812299674322,-2.5324424408574067,1.1111111111111112,0.9,0.096051227321238,0.0343445907269605,-0.22551724137931034,163.5,LOW,2026-07-17,UP,56.09999990463257,True,False,0.9,0.0343445907269605,0.22551724137931034,1.0,-1.7295812299674322,1.7295812299674322,trend,ON
1784255820,28915.5,28916.0,28913.25,28914.0,57.0,-3.0,44.0,28,25.0,33.0,70.0,81.0,4.0,7.0,28914.0,28914.75,19,10.575,0.32894736842105265,28936.071883148074,28970.75,28908.5,29012.0,28908.5,24.0,49.0,868.0,29135.0,-5.5,0.5,-3.0,9.0,29.05,31.183333333333334,28954.22838986155,0.08835341365461848,5.886524822695036,-1.7169273487920682,-2.0871757114017533,1.32,0.7575757575757576,0.28861571352218063,-0.10327022375215146,0.056451612903225805,32.666666666666664,LOW,2026-07-17,DN,21.063999891281128,False,True,0.7575757575757576,-0.10327022375215146,-0.056451612903225805,-0.5,-1.7169273487920682,1.7169273487920682,trend,ON
1784255880,28907.0,28907.0,28904.5,28905.75,55.0,11.0,50.0,35,41.0,46.0,138.0,96.0,6.0,4.0,28905.0,28905.75,20,10.675,0.35949764521193095,28933.810018710665,28970.75,28904.0,29008.25,28904.0,28.0,-124.0,1305.0,29397.0,-1.5,-8.25,9.0,16.0,31.333333333333332,30.7,28952.04151437959,0.026217228464419477,6.2529274004683835,-1.7078684467378054,-2.628573181326907,1.1219512195121952,0.8913043478260869,0.5211726384364821,0.2872340425531915,-0.0950191570881226,13.405405405405405,LOW,2026-07-17,UP,38.924999952316284,True,False,0.8913043478260869,0.2872340425531915,0.0950191570881226,8.25,-1.7078684467378054,1.7078684467378054,trend,ON
1784255940,28909.25,28910.25,28907.5,28910.25,60.0,-10.0,60.0,41,29.0,24.0,55.0,58.0,2.0,4.0,28909.75,28910.5,19,10.4125,0.31942215088282505,28932.59662649379,28970.75,28904.0,29002.0,28904.0,43.0,73.0,785.0,29541.0,1.5,4.5,-4.0,1.0,31.016666666666666,29.983333333333334,28950.337942000864,0.09363295880149813,6.410564225690276,-1.703847827810357,-2.146134597242621,0.8275862068965517,1.2083333333333333,0.033351862145636464,-0.12896292315959162,0.0929936305732484,13.272727272727273,LOW,2026-07-17,UP,91.07599997520447,True,False,1.2083333333333333,-0.12896292315959162,-0.0929936305732484,-4.5,-1.703847827810357,1.703847827810357,trend,ON
1784256155,28912.75,28912.75,28909.25,28910.5,242.0,-94.0,288.0,134,26.0,29.0,60.0,74.0,4.0,3.0,28910.5,28911.25,20,10.35,0.29356357927786497,28927.884923356538,28970.75,28904.0,28993.5,28904.0,-146.0,-121.0,736.0,29178.0,-7.0,-7.0,-11.0,6.0,32.3,27.033333333333335,28943.51467005999,0.09737827715355805,6.449275362318841,-1.5101204544398878,-1.6797027397621171,1.1153846153846154,0.896551724137931,0.2219482120838471,-0.3405572755417957,-0.1644021739130435,15.125,LOW,2026-07-17,UP,37.437000036239624,True,False,0.896551724137931,-0.3405572755417957,0.1644021739130435,7.0,-1.5101204544398878,1.5101204544398878,chop,ON
1784256890,28908.25,28909.25,28905.0,28906.25,195.0,-133.0,238.0,103,46.0,29.0,90.0,70.0,2.0,2.0,28906.0,28906.5,19,11.5375,0.0975609756097561,28920.173813309484,28938.75,28904.0,28987.0,28904.0,-129.0,-97.0,752.0,30172.0,-8.0,-5.0,20.0,7.0,30.116666666666667,28.4,28926.647401293078,0.06474820143884892,3.011917659804984,-0.5610910494988915,-1.2068310560766287,0.6304347826086957,1.5862068965517242,0.24647887323943662,0.6640841173215274,-0.12898936170212766,16.166666666666668,LOW,2026-07-17,DN,6.4079999923706055,False,True,1.5862068965517242,0.6640841173215274,0.12898936170212766,5.0,-0.5610910494988915,0.5610910494988915,chop,ON
1784257410,28931.75,28936.5,28931.75,28936.25,164.0,76.0,157.0,81,31.0,38.0,62.0,140.0,1.0,3.0,28936.0,28936.5,20,12.625,0.011826544021024968,28918.978265787602,28938.75,28893.75,28982.25,28893.75,35.0,111.0,876.0,30936.0,9.0,15.25,5.0,7.0,28.716666666666665,31.066666666666666,28920.94456005723,0.9444444444444444,3.5643564356435644,-0.15574608076251997,1.3680581554374542,1.2258064516129032,0.8157894736842105,0.22532188841201717,0.17411491584445735,0.1267123287671233,6.8307692307692305,HIGH,2026-07-17,UP,68.65499997138977,False,True,1.2258064516129032,0.22532188841201717,0.1267123287671233,15.25,0.15574608076251997,0.15574608076251997,chop,ON
